# T_over_m,energy_density_FD
3.341874946832388e11,3.590437497697074e45
3.3556199186645844e11,3.649872111090371e45
3.369421422908577e11,3.710290578987545e45
3.383279692079474e11,3.771709191004728e45
3.397194959648703e11,3.834144500433101e45
3.4111674600479504e11,3.897613374045386e45
3.4251974286731104e11,3.962132855456522e45
3.439285101888246e11,4.027720390180502e45
3.4534307170295764e11,4.0943935881984077e45
3.4676345124094745e11,4.1621704887670935e45
3.481896727320478e11,4.231069340139047e45
3.496217602039324e11,4.301108714625008e45
3.5105973778309973e11,4.3723074919742536e45
3.5250362969527936e11,4.4446848644637855e45
3.5395346026584015e11,4.5182603941858395e45
3.554092539201999e11,4.593053848008205e45
3.568710351842371e11,4.6690853553465215e45
3.583388286847042e11,4.746375380442667e45
3.598126591496419e11,4.824945094070567e45
3.612925514087964e11,4.904815278188433e45
3.6277853039403735e11,4.986007600640964e45
3.642706211397782e11,5.068543947554098e45
3.657688487833975e11,5.152446659555618e45
3.672732385656627e11,5.2377377361100385e45
3.6878381583115546e11,5.3244410726831483e45
3.703006060286982e11,5.412579660139079e45
3.7182363471178345e11,5.502177041158106e45
3.733529275390039e11,5.593257747152681e45
3.748885102744847e11,5.685846160272886e45
3.764304087883179e11,5.779959732726079e45
3.779786490569975e11,5.87563837813416e45
3.795332571638582e11,5.97290927094852e45
3.810942592995137e11,6.071782388802161e45
3.826616817622987e11,6.172292216007387e45
3.8423555095871173e11,6.274465790111879e45
3.858158934038597e11,6.378330716599868e45
3.874027357219052e11,6.483914931269227e45
3.889961046465147e11,6.591247209915598e45
3.9059602702130865e11,6.700355902894004e45
3.9220252980031433e11,6.811270824966272e45
3.938156400484196e11,6.924021786511767e45
3.9543538494182886e11,7.038639086848483e45
3.9706179176852094e11,7.155153803034641e45
3.9869488792870874e11,7.273597255077018e45
4.00334700935301e11,7.39400137046313e45
4.0198125841436597e11,7.516398605195552e45
4.0363458810559625e11,7.640821886972349e45
4.052947178627764e11,7.76730488554719e45
4.069616756542528e11,7.895881765002907e45
4.086354895634038e11,8.026586822229814e45
4.103161877891135e11,8.159455716448121e45
4.120037986462467e11,8.294523998698756e45
4.1369835056612573e11,8.431828145757685e45
4.153998720970099e11,8.571405472729421e45
4.171083919045758e11,8.713294219369501e45
4.188239387724008e11,8.857529253611695e45
4.205465416024477e11,9.00415314539523e45
4.2227622941555164e11,9.15320409927596e45
4.240130313519091e11,9.304722470930224e45
4.257569766715688e11,9.458749015270999e45
4.275080947549246e11,9.615325242852621e45
4.2926641510321063e11,9.774493374331299e45
4.3103196733899786e11,9.936296287624486e45
4.3280478120669403e11,1.0100777618697267e46
4.3458488657304376e11,1.0267981704973811e46
4.363723134276323e11,1.0437953617824084e46
4.381670918833906e11,1.0610739174713392e46
4.399692521771027e11,1.0786384951553198e46
4.417788246699152e11,1.0964938172532761e46
4.4359583984784827e11,1.1146446981695826e46
4.454203283223101e11,1.133096075470789e46
4.472523208306117e11,1.1518529270162117e46
4.490918482364856e11,1.1709202589354365e46
4.5093894153060486e11,1.1903031797425623e46
4.527936318311063e11,1.2100069819307422e46
4.5465595038411365e11,1.2300369419948158e46
4.565259285642648e11,1.2503984682211528e46
4.584035978752398e11,1.271097050842393e46
4.602889899502918e11,1.292138269358429e46
4.621821365527802e11,1.3135277761860594e46
4.640830695767056e11,1.3352713801485012e46
4.659918210472468e11,1.3573749131347899e46
4.679084231213009e11,1.3798443403317961e46
4.698329080880247e11,1.4026857173021828e46
4.717653083693787e11,1.4259052011602475e46
4.7370565652067346e11,1.449509050943385e46
4.75653985231118e11,1.4735035955313028e46
4.776103273243704e11,1.4978953710870175e46
4.79574715759091e11,1.522690954130162e46
4.815471836294972e11,1.547897014871067e46
4.8352776416592163e11,1.5735202616574868e46
4.855164907353719e11,1.599567665118331e46
4.875133968420921e11,1.626046222204913e46
4.8951851612812775e11,1.652963146036994e46
4.915318823738926e11,1.6803256170770428e46
4.935535294987378e11,1.7081410352895403e46
4.9558349156152277e11,1.7364168957383626e46
4.9762180276118964e11,1.7651605545154294e46
4.9966849743733923e11,1.7943802990576205e46
5.017236100708092e11,1.8240837383044368e46
5.0378717528425555e11,1.8542789132741733e46
5.058592278427355e11,1.8849738949886408e46
5.079398026542932e11,1.916176989358663e46
5.100289347705479e11,1.9478966075074085e46
5.1212665938728485e11,1.980141264906375e46
5.142330118450473e11,2.01291972280172e46
5.163480276297329e11,2.046240782518898e46
5.184717423731908e11,2.080113847753309e46
5.206041918538228e11,2.114547266434194e46
5.2274541199718475e11,2.1495506833179384e46
5.2489543887659326e11,2.1851336498150782e46
5.270543087137323e11,2.22130552697758e46
5.292220578792642e11,2.2580754389174508e46
5.3139872289344214e11,2.2954547109356707e46
5.33584340426725e11,2.33345267008102e46
5.3577894730039575e11,2.37207971081422e46
5.379825804871816e11,2.411346169021382e46
5.401952771118765e11,2.4512626811610957e46
5.424170744519674e11,2.4918397368994175e46
5.4464800993826117e11,2.533088730189263e46
5.4688812115551636e11,2.5750205016176636e46
5.4913744584307556e11,2.617646396192393e46
5.513960218955013e11,2.66097790422612e46
5.536638873632151e11,2.7050267062420293e46
5.559410804531376e11,2.7498046052604814e46
5.582276395293329e11,2.7953237681367014e46
5.605236031136547e11,2.8415964381825914e46
5.62829009886395e11,2.888635152438657e46
5.651438986869362e11,2.9364524555984695e46
5.674683085144052e11,2.98506119170552e46
5.698022785283303e11,3.0344748394478553e46
5.721458480493016e11,3.0847063470220503e46
5.74499056559632e11,3.135769510558816e46
5.768619437040238e11,3.187677813450018e46
5.792345492902362e11,3.2404453884839707e46
5.816169132897557e11,3.294086459876268e46
5.840090758384694e11,3.348615487312361e46
5.864110772373414e11,3.4040471698457347e46
5.88822957953092e11,3.4603964381596205e46
5.912447586188792e11,3.5176721544914e46
5.936765200349829e11,3.5759024015543543e46
5.961182831694927e11,3.635096568527872e46
5.985700891589982e11,3.695270644531855e46
6.010319793092816e11,3.7564407844669375e46
6.035039950960142e11,3.8186236427741105e46
6.059861781654541e11,3.881835571439835e46
6.084785703351489e11,3.946094085452757e46
6.109812135946399e11,4.011416195693111e46
6.134941501061691e11,4.077819749896401e46
6.160174222053898e11,4.145322529383047e46
6.185510724020798e11,4.2139427306121164e46
6.210951433808578e11,4.283698851272425e46
6.236496780019021e11,4.3546096952693665e46
6.26214719301673e11,4.4266943777942773e46
6.287903104936376e11,4.4999725431559595e46
6.313764949689977e11,4.574458348897133e46
6.339733162974216e11,4.650182095241467e46
6.365808182277772e11,4.727159340728207e46
6.391990446888693e11,4.805410983349666e46
6.4182803979018e11,4.884957801332995e46
6.444678478226116e11,4.965821403604863e46
6.471185132592327e11,5.048023587656489e46
6.497800807560271e11,5.131586511807464e46
6.524525951526475e11,5.216532395293776e46
6.551361014731688e11,5.302884753873668e46
6.578306449268486e11,5.390666741747058e46
6.605362709088877e11,5.479901713156181e46
6.632530250011951e11,5.570613844835299e46
6.659809529731565e11,5.662827589120784e46
6.68720100782404e11,5.756567803124839e46
6.714705145755923e11,5.851859755436156e46
6.742322406891741e11,5.948729132931362e46
6.770053256501825e11,6.047202047699357e46
6.797898161770134e11,6.14730504408015e46
6.825857591802141e11,6.249065105820345e46
6.853932017632717e11,6.352509936638668e46
6.882121912234083e11,6.457666906403682e46
6.910427750523772e11,6.56456460342007e46
6.938850009372628e11,6.673231843025314e46
6.967389167612844e11,6.783695904991612e46
6.996045706046027e11,6.895998983147713e46
7.024820107451294e11,7.01014376812901e46
7.053712856593414e11,7.12618718401681e46
7.08272444023097e11,7.244151540008871e46
7.111855347124557e11,7.364068634545398e46
7.141106068045021e11,7.485970894954489e46
7.170477095781724e11,7.609890722283588e46
7.199968925150847e11,7.735861868636205e46
7.229582053003729e11,7.86391829068849e46
7.259316978235231e11,7.994094507220736e46
7.289174201792147e11,8.126426339527427e46
7.31915422668164e11,8.26094799821659e46
7.349257557979718e11,8.397696474167608e46
7.379484702839741e11,8.536709044098397e46
